feature,5min,15min,30min,1h,2h,4h,12h,24h
taker_z72,-0.006758416749740339,-0.011267871328616062,-0.01198752175850305,-0.01013133975711968,-0.010319879585373778,-0.006150628458535642,-0.0012721958094274101,0.010129863363296101
top_ls,-0.052292169376883926,-0.05316143843271912,-0.055172339192655934,-0.06023555719562931,-0.06615924536130818,-0.0682610052539528,-0.05649282415700519,-0.0622042325685405
top_ls_z36,0.05935330395455256,0.05424205761104233,0.04925302999221463,0.04091975677237796,0.0307712172116141,0.0172610246119078,0.008903007735357422,-0.0008700321967005677
top_ls_z72,0.07025562025497399,0.06564900494905902,0.061531902091524496,0.05525243098588829,0.04484939234996665,0.0316300430610882,0.01929471591399806,0.00354052764696113
um_cvd_d12,0.3745449211990805,0.36465833906602646,0.347164151487144,0.3232776637747043,0.2920843670402741,0.254908022144512,0.19443497972670312,0.15317427215050144
um_cvd_d144,0.29864503920050495,0.30070160530134843,0.2968516142672813,0.28584864167859947,0.26572159468311785,0.23634276146217387,0.19672936873821473,0.19544872476612787
um_cvd_d36,0.3613901247230512,0.3583574799148156,0.3469077998982616,0.3259080549642057,0.29709012451451644,0.2618198550703941,0.18625685744805165,0.16103033419159737
um_cvd_d6,0.37933793707807173,0.362303251463178,0.34212889857382556,0.32016172794987247,0.29072308993840357,0.2551562796578952,0.19675330443472888,0.15361654908975905
um_cvd_d72,0.34288805763810015,0.3432554330775487,0.33696206281467705,0.32181372097028893,0.2984963127989674,0.2564018664488266,0.18628342638728976,0.17673332042063045
um_delta_z12,0.05981165484257385,0.043774861105668104,0.03364942468631729,0.027848927711219527,0.021978395114878792,0.016484270145468684,0.014148066445723112,0.00777890139052534
um_delta_z144,0.1930806135831676,0.1696554992465496,0.15179233002911954,0.1364044613346706,0.11975482666243696,0.10328358977647374,0.07789809359385891,0.04325698785898053
um_delta_z36,0.10537340789476092,0.08391948291206666,0.06956022991001956,0.059815837326308276,0.050174432663034514,0.03889340057592503,0.03167909574259623,0.014693937783996008
um_delta_z6,0.04313582509325069,0.028527301997801315,0.020341237172079772,0.014333493192202085,0.010694417098100798,0.0063055890699264885,0.005696715642303346,0.0016039538413351933
um_delta_z72,0.14345745526155068,0.12030993936519169,0.10358335357566838,0.09036230404604545,0.07655774486795973,0.06319983415825628,0.05448893392136503,0.0255909563272981
vol_roc_12,0.13185110554753698,0.11574264746259452,0.10058899466239798,0.0833604507196846,0.06677443597641441,0.05015388939052838,0.02356202515167402,0.011346862186137525
vol_roc_36,0.18613655748916896,0.17395898786895475,0.16120273813042008,0.1431161855987332,0.12144693902203701,0.09278658050536634,0.04707695890595555,0.02347432406373441
vol_roc_6,0.10263990389726273,0.085766535557994,0.06993698354005841,0.0548858821477553,0.04066267740131473,0.0280682058555233,0.011329092466804743,0.002733618202910254
